experiment_id,instrument,OpenTS per 5 minutes,CloseTS per 5 minutes,duration in hours,duration in minutes,job_id,amount,lowest_v,highest_v,profit_v,profit_p,max_DD,open_price,close_price,tp_p,Losing streak,Winning streak,Transform HH,Transform day/night,WEST,ASIA,total nr of trades,AVG trade duration,AVG nov-dec,AVG jan-may,AVG june-oct,profitable trades,Losing trades,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2021-11-26 9:30,2021-11-26 9:40,0:10,10,,"1,000",938.99,1030,29.23,2.92,-6.1,33.02,33.99,3,0,1,9,1,443,183,626,94,64,97,140,438,188,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2021-11-26 9:50,2021-11-26 9:50,0:00,0,,"1,029",1022.15,1060.1,30.08,2.92,-0.69,31.01,31.92,3,0,2,9,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2021-11-26 9:50,2021-11-26 10:00,0:10,10,,"1,059",1041.63,1091.09,30.96,2.92,-1.67,32.62,33.58,3,0,3,9,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2021-11-26 10:10,2021-11-26 10:20,0:10,10,,"1,090",1061.29,1106.21,-3.64,-0.33,-2.66,32.52,32.42,3,1,0,10,1,,,,,,,,,,percentile,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2021-11-26 10:30,2021-11-26 10:40,0:10,10,,"1,087",1060.77,1119.23,31.76,2.92,-2.38,31.24,32.16,3,0,1,10,1,,,,,,,,,,-0.27,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2021-11-26 10:40,2021-11-26 11:40,1:00,60,,"1,118",1023.73,1145.12,-10.26,-0.92,-8.46,31.23,30.95,3,1,0,10,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2021-11-26 12:20,2021-11-26 12:30,0:10,10,,"1,108",1055.74,1141.37,32.39,2.92,-4.73,32.67,33.63,3,0,1,12,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2021-11-26 12:30,2021-11-26 13:20,0:50,50,,"1,141",1074.84,1174.72,33.33,2.92,-5.76,33.25,34.23,3,0,2,12,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2021-11-26 14:20,2021-11-26 14:30,0:10,10,,"1,174",1172.29,1209.06,34.31,2.92,-0.13,34.89,35.91,3,0,3,14,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2021-11-26 15:20,2021-11-26 15:30,0:10,10,,"1,208",1169.6,1244.4,35.31,2.92,-3.19,35.95,37,3,0,4,15,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2021-11-26 15:30,2021-11-26 15:50,0:20,20,,"1,243",1221.65,1270.38,18.31,1.47,-1.75,35.73,36.25,3,0,5,15,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2021-11-26 16:30,2021-11-26 16:40,0:10,10,,"1,262",1247.21,1282.12,19.39,1.54,-1.15,36.14,36.69,3,0,6,16,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2021-11-26 17:30,2021-11-26 17:40,0:10,10,,"1,281",1279.84,1319.6,37.45,2.92,-0.1,35.04,36.06,3,0,7,17,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2021-11-26 18:10,2021-11-26 18:20,0:10,10,,"1,319",1288.56,1358.17,38.54,2.92,-2.28,34.03,35.02,3,0,8,18,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2021-11-26 18:20,2021-11-26 18:30,0:10,10,,"1,357",1357.15,1397.86,39.67,2.92,0,34.25,35.25,3,0,9,18,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2021-11-26 19:40,2021-11-26 20:30,0:50,50,,"1,397",1294.23,1436.59,-9.29,-0.67,-7.34,40.72,40.45,3,1,0,19,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2021-11-26 21:00,2021-11-26 21:10,0:10,10,,"1,388",1379.08,1429.15,40.55,2.92,-0.61,39.35,40.5,3,0,1,21,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2021-11-26 22:20,2021-11-26 22:20,0:00,0,,"1,428",1422.99,1470.92,41.74,2.92,-0.36,39.14,40.28,3,0,2,22,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2021-11-26 22:20,2021-11-26 22:30,0:10,10,,"1,470",1464.33,1513.33,8.39,0.57,-0.37,40.19,40.42,3,0,3,22,1,,,,,,,,,,,,
